Run Number, Run Name, Image Name, Scale Factor, Base Seed, Replicate Seed, Max Degree of Parallelism, Number of Workers, Number of Tries, Number of Trials, Screenshot Number, Observation Time, Propagate Time, Search Time, CPU Usage
5, parallel-propagate, Platformer, 1, 1000, 980737479, 4, 1, 10, 50, 0, 0:02.43, 0:01.78, 0:04.34,0
5, parallel-propagate, Skyline, 1, 1000, 980737479, 8, 1, 10, 50, 0, 0:06.13, 0:04.27, 0:10.63,0
5, parallel-propagate, Flowers, 1, 1000, 980737479, 8, 1, 10, 50, 0, 0:02.03, 0:02.41, 0:04.60,0
5, parallel-propagate, Platformer, 1, 1000, 980737479, 8, 1, 10, 50, 0, 0:02.41, 0:01.60, 0:04.16,0
6, sequential-main, Skyline, 1, 1000, 2067435452, 1, 1, 10, 50, 0, 0:06.99, 0:05.85, 0:13.56,0
6, sequential-main, Flowers, 1, 1000, 2067435452, 1, 1, 10, 50, 0, 0:02.34, 0:03.80, 0:06.66,0
6, sequential-main, Platformer, 1, 1000, 2067435452, 1, 1, 10, 50, 0, 0:03.84, 0:02.96, 0:07.19,0
6, parallel-main, Skyline, 1, 1000, 2067435452, 1, 1, 10, 50, 0, 0:06.95, 0:05.75, 0:13.36,0
6, parallel-main, Flowers, 1, 1000, 2067435452, 1, 1, 10, 50, 0, 0:02.33, 0:03.79, 0:06.65,0
6, parallel-main, Platformer, 1, 1000, 2067435452, 1, 1, 10, 50, 0, 0:03.93, 0:02.95, 0:07.28,0
6, parallel-main, Skyline, 1, 1000, 2067435452, 1, 2, 10, 50, 0, 0:15.04, 0:12.11, 0:28.68,0
6, parallel-main, Flowers, 1, 1000, 2067435452, 1, 2, 10, 50, 0, 0:05.80, 0:08.02, 0:14.87,0
6, parallel-main, Platformer, 1, 1000, 2067435452, 1, 2, 10, 50, 0, 0:07.02, 0:05.24, 0:13.10,0
6, parallel-main, Skyline, 1, 1000, 2067435452, 1, 4, 10, 50, 0, 0:34.15, 0:26.29, 1:03.61,0
6, parallel-main, Flowers, 1, 1000, 2067435452, 1, 4, 10, 50, 0, 0:10.55, 0:17.27, 0:30.32,0
6, parallel-main, Platformer, 1, 1000, 2067435452, 1, 4, 10, 50, 0, 0:14.40, 0:10.34, 0:26.68,0
6, parallel-main, Skyline, 1, 1000, 2067435452, 1, 8, 10, 50, 0, 1:34.98, 1:11.25, 2:55.89,0
6, parallel-main, Flowers, 1, 1000, 2067435452, 1, 8, 10, 50, 0, 0:26.47, 0:43.44, 1:16.80,0
6, parallel-main, Platformer, 1, 1000, 2067435452, 1, 8, 10, 50, 0, 0:41.43, 0:29.79, 1:16.84,0
6, parallel-propagate, Skyline, 1, 1000, 2067435452, 1, 1, 10, 50, 0, 0:06.91, 0:05.81, 0:13.38,0
6, parallel-propagate, Flowers, 1, 1000, 2067435452, 1, 1, 10, 50, 0, 0:02.33, 0:03.76, 0:06.61,0
6, parallel-propagate, Platformer, 1, 1000, 2067435452, 1, 1, 10, 50, 0, 0:03.85, 0:02.97, 0:07.21,0
6, parallel-propagate, Skyline, 1, 1000, 2067435452, 2, 1, 10, 50, 0, 0:06.86, 0:05.16, 0:12.42,0
6, parallel-propagate, Flowers, 1, 1000, 2067435452, 2, 1, 10, 50, 0, 0:01.94, 0:02.69, 0:04.90,0
6, parallel-propagate, Platformer, 1, 1000, 2067435452, 2, 1, 10, 50, 0, 0:06.73, 0:04.66, 0:11.83,0
6, parallel-propagate, Skyline, 1, 1000, 2067435452, 4, 1, 10, 50, 0, 0:06.90, 0:05.02, 0:12.13,0
6, parallel-propagate, Flowers, 1, 1000, 2067435452, 4, 1, 10, 50, 0, 0:02.26, 0:02.67, 0:05.11,0
6, parallel-propagate, Platformer, 1, 1000, 2067435452, 4, 1, 10, 50, 0, 0:06.73, 0:04.28, 0:11.26,0
6, parallel-propagate, Skyline, 1, 1000, 2067435452, 8, 1, 10, 50, 0, 0:06.84, 0:04.87, 0:11.91,0
6, parallel-propagate, Flowers, 1, 1000, 2067435452, 8, 1, 10, 50, 0, 0:03.97, 0:04.54, 0:08.82,0
6, parallel-propagate, Platformer, 1, 1000, 2067435452, 8, 1, 10, 50, 0, 0:03.91, 0:02.21, 0:06.24,0
7, sequential-main, Skyline, 1, 1000, 271829958, 1, 1, 10, 50, 0, 0:06.14, 0:05.29, 0:12.13,0
7, sequential-main, Flowers, 1, 1000, 271829958, 1, 1, 10, 50, 0, 0:02.34, 0:03.82, 0:06.68,0
7, sequential-main, Platformer, 1, 1000, 271829958, 1, 1, 10, 50, 0, 0:03.40, 0:02.81, 0:06.63,0
7, parallel-main, Skyline, 1, 1000, 271829958, 1, 1, 10, 50, 0, 0:06.19, 0:05.32, 0:12.23,0
7, parallel-main, Flowers, 1, 1000, 271829958, 1, 1, 10, 50, 0, 0:02.33, 0:03.81, 0:06.66,0
7, parallel-main, Platformer, 1, 1000, 271829958, 1, 1, 10, 50, 0, 0:03.38, 0:02.80, 0:06.58,0
7, parallel-main, Skyline, 1, 1000, 271829958, 1, 2, 10, 50, 0, 0:12.47, 0:10.67, 0:24.63,0
7, parallel-main, Flowers, 1, 1000, 271829958, 1, 2, 10, 50, 0, 0:03.73, 0:06.36, 0:11.05,0
7, parallel-main, Platformer, 1, 1000, 271829958, 1, 2, 10, 50, 0, 0:05.96, 0:04.92, 0:11.71,0
7, parallel-main, Skyline, 1, 1000, 271829958, 1, 4, 10, 50, 0, 0:27.68, 0:24.38, 0:55.46,0
7, parallel-main, Flowers, 1, 1000, 271829958, 1, 4, 10, 50, 0, 0:11.48, 0:16.40, 0:30.17,0
7, parallel-main, Platformer, 1, 1000, 271829958, 1, 4, 10, 50, 0, 0:13.05, 0:10.77, 0:25.77,0
7, parallel-main, Skyline, 1, 1000, 271829958, 1, 8, 10, 50, 0, 1:25.81, 1:09.00, 2:44.45,0
7, parallel-main, Flowers, 1, 1000, 271829958, 1, 8, 10, 50, 0, 0:32.82, 0:47.93, 1:28.06,0
7, parallel-main, Platformer, 1, 1000, 271829958, 1, 8, 10, 50, 0, 0:42.57, 0:30.96, 1:19.03,0
7, parallel-propagate, Skyline, 1, 1000, 271829958, 1, 1, 10, 50, 0, 0:06.12, 0:05.36, 0:12.19,0
7, parallel-propagate, Flowers, 1, 1000, 271829958, 1, 1, 10, 50, 0, 0:02.34, 0:03.86, 0:06.72,0
7, parallel-propagate, Platformer, 1, 1000, 271829958, 1, 1, 10, 50, 0, 0:03.37, 0:02.87, 0:06.64,0
7, parallel-propagate, Skyline, 1, 1000, 271829958, 2, 1, 10, 50, 0, 0:06.11, 0:04.79, 0:11.27,0
7, parallel-propagate, Flowers, 1, 1000, 271829958, 2, 1, 10, 50, 0, 0:02.26, 0:03.09, 0:05.62,0
7, parallel-propagate, Platformer, 1, 1000, 271829958, 2, 1, 10, 50, 0, 0:03.59, 0:02.47, 0:06.28,0
7, parallel-propagate, Skyline, 1, 1000, 271829958, 4, 1, 10, 50, 0, 0:06.11, 0:04.53, 0:10.86,0
7, parallel-propagate, Flowers, 1, 1000, 271829958, 4, 1, 10, 50, 0, 0:02.24, 0:02.85, 0:05.26,0
7, parallel-propagate, Platformer, 1, 1000, 271829958, 4, 1, 10, 50, 0, 0:03.35, 0:02.38, 0:05.87,0
