Run Number, Run Name, Image Name, Scale Factor, Base Seed, Replicate Seed, Max Degree of Parallelism, Number of Workers, Number of Tries, Number of Trials, Screenshot Number, Propagate Time, Search Time
3, sequential-main, Platformer,1,1000,2344573,1,1,10,10,0, 00:00:02.6702579, 00:00:06.9490565
4, parallel-propagate, Skyline,1,1000,1485571032,8,1,10,10,0, 00:00:05.9820239, 00:00:13.9332530
4, parallel-propagate, Flowers,1,1000,1485571032,8,1,10,10,0, 00:00:03.7034852, 00:00:06.1035788
4, parallel-propagate, Platformer,1,1000,1485571032,8,1,10,10,0, 00:00:02.2332363, 00:00:05.4517762
4, parallel-main, Skyline,1,1000,1485571032,1,8,10,10,0, 00:00:07.7561654, 00:00:17.4041027
4, parallel-main, Flowers,1,1000,1485571032,1,8,10,10,0, 00:00:05.8395175, 00:00:09.5580573
4, parallel-main, Platformer,1,1000,1485571032,1,8,10,10,0, 00:00:03.5286436, 00:00:10.0846264
4, parallel-propagate, Skyline,1,1000,1485571032,4,1,10,10,0, 00:00:06.3736282, 00:00:15.7673388
4, parallel-propagate, Flowers,1,1000,1485571032,4,1,10,10,0, 00:00:03.7222922, 00:00:06.1303801
4, parallel-propagate, Platformer,1,1000,1485571032,4,1,10,10,0, 00:00:02.2289289, 00:00:05.4488865
4, parallel-main, Skyline,1,1000,1485571032,1,4,10,10,0, 00:00:05.3613626, 00:00:11.4000519
4, parallel-main, Flowers,1,1000,1485571032,1,4,10,10,0, 00:00:05.1411383, 00:00:08.1890739
4, parallel-main, Platformer,1,1000,1485571032,1,4,10,10,0, 00:00:02.1906460, 00:00:05.6860646
4, parallel-propagate, Skyline,1,1000,1485571032,2,1,10,10,0, 00:00:06.0173678, 00:00:14.0737586
4, parallel-propagate, Flowers,1,1000,1485571032,2,1,10,10,0, 00:00:03.7159084, 00:00:06.1544015
4, parallel-propagate, Platformer,1,1000,1485571032,2,1,10,10,0, 00:00:02.1555914, 00:00:05.4088274
4, parallel-main, Skyline,1,1000,1485571032,1,2,10,10,0, 00:00:05.9567776, 00:00:14.1102061
4, parallel-main, Flowers,1,1000,1485571032,1,2,10,10,0, 00:00:03.4578266, 00:00:05.5936664
4, parallel-main, Platformer,1,1000,1485571032,1,2,10,10,0, 00:00:02.3052032, 00:00:05.6913126
4, parallel-propagate, Skyline,1,1000,1485571032,1,1,10,10,0, 00:00:06.0188351, 00:00:13.9497576
4, parallel-propagate, Flowers,1,1000,1485571032,1,1,10,10,0, 00:00:03.7434247, 00:00:06.1946267
4, parallel-propagate, Platformer,1,1000,1485571032,1,1,10,10,0, 00:00:02.1968190, 00:00:05.4381705
4, parallel-main, Skyline,1,1000,1485571032,1,1,10,10,0, 00:00:06.0301919, 00:00:13.9954770
4, parallel-main, Flowers,1,1000,1485571032,1,1,10,10,0, 00:00:03.7109214, 00:00:06.1188608
4, parallel-main, Platformer,1,1000,1485571032,1,1,10,10,0, 00:00:02.2185221, 00:00:05.4347980
4, sequential-main, Skyline,1,1000,1485571032,1,1,10,10,0, 00:00:06.0118009, 00:00:13.9359310
4, sequential-main, Flowers,1,1000,1485571032,1,1,10,10,0, 00:00:03.7239654, 00:00:06.1498235
4, sequential-main, Platformer,1,1000,1485571032,1,1,10,10,0, 00:00:02.2145698, 00:00:05.4324671
5, parallel-propagate, Skyline,1,1000,980737479,8,1,10,10,0, 00:00:05.4204770, 00:00:12.3019958
5, parallel-propagate, Flowers,1,1000,980737479,8,1,10,10,0, 00:00:03.4554300, 00:00:06.0341299
5, parallel-propagate, Platformer,1,1000,980737479,8,1,10,10,0, 00:00:02.0716361, 00:00:04.9235270
5, parallel-main, Skyline,1,1000,980737479,1,8,10,10,0, 00:00:07.7302865, 00:00:18.3614538
5, parallel-main, Flowers,1,1000,980737479,1,8,10,10,0, 00:00:05.9141770, 00:00:10.3780055
5, parallel-main, Platformer,1,1000,980737479,1,8,10,10,0, 00:00:03.8713227, 00:00:09.9420777
5, parallel-propagate, Skyline,1,1000,980737479,4,1,10,10,0, 00:00:06.0907043, 00:00:14.5778771
5, parallel-propagate, Flowers,1,1000,980737479,4,1,10,10,0, 00:00:03.6959451, 00:00:06.3864380
5, parallel-propagate, Platformer,1,1000,980737479,4,1,10,10,0, 00:00:02.1422422, 00:00:05.0749303
5, parallel-main, Skyline,1,1000,980737479,1,4,10,10,0, 00:00:06.1241471, 00:00:13.9072505
5, parallel-main, Flowers,1,1000,980737479,1,4,10,10,0, 00:00:04.6386577, 00:00:07.8718861
5, parallel-main, Platformer,1,1000,980737479,1,4,10,10,0, 00:00:02.9725413, 00:00:06.9251369
5, parallel-propagate, Skyline,1,1000,980737479,2,1,10,10,0, 00:00:05.6171538, 00:00:13.0306903
5, parallel-propagate, Flowers,1,1000,980737479,2,1,10,10,0, 00:00:03.7407145, 00:00:06.3852271
