Run Number, Run Name, Image Name, Scale Factor, Base Seed, Replicate Seed, Max Degree of Parallelism, Number of Workers, Number of Tries, Number of Trials, Screenshot Number, Observation Time, Propagate Time, Search Time, CPU Usage
2, parallel-main, Skyline, 1, 1000, 1623525913, 1, 4, 10, 50, 0, 0:20.14, 0:20.41, 0:44.00,
2, parallel-main, Flowers, 1, 1000, 1623525913, 1, 4, 10, 50, 0, 0:09.70, 0:15.28, 0:27.61,
2, parallel-main, Platformer, 1, 1000, 1623525913, 1, 4, 10, 50, 0, 0:11.59, 0:09.41, 0:22.87,
2, parallel-main, Skyline, 1, 1000, 1623525913, 1, 8, 10, 50, 0, 0:58.73, 0:52.90, 2:01.04,
2, parallel-main, Flowers, 1, 1000, 1623525913, 1, 8, 10, 50, 0, 0:27.87, 0:41.57, 1:16.25,
2, parallel-main, Platformer, 1, 1000, 1623525913, 1, 8, 10, 50, 0, 0:34.08, 0:27.10, 1:06.82,
2, parallel-propagate, Skyline, 1, 1000, 1623525913, 1, 1, 10, 50, 0, 0:04.71, 0:04.56, 0:09.95,
2, parallel-propagate, Flowers, 1, 1000, 1623525913, 1, 1, 10, 50, 0, 0:02.18, 0:03.45, 0:06.14,
2, parallel-propagate, Platformer, 1, 1000, 1623525913, 1, 1, 10, 50, 0, 0:04.23, 0:02.97, 0:07.61,
2, parallel-propagate, Skyline, 1, 1000, 1623525913, 2, 1, 10, 50, 0, 0:04.75, 0:04.77, 0:10.25,
2, parallel-propagate, Flowers, 1, 1000, 1623525913, 2, 1, 10, 50, 0, 0:02.19, 0:03.38, 0:06.07,
2, parallel-propagate, Platformer, 1, 1000, 1623525913, 2, 1, 10, 50, 0, 0:04.23, 0:02.97, 0:07.60,
2, parallel-propagate, Skyline, 1, 1000, 1623525913, 4, 1, 10, 50, 0, 0:04.74, 0:04.79, 0:10.25,
2, parallel-propagate, Flowers, 1, 1000, 1623525913, 4, 1, 10, 50, 0, 0:02.19, 0:03.36, 0:06.05,
2, parallel-propagate, Platformer, 1, 1000, 1623525913, 4, 1, 10, 50, 0, 0:04.24, 0:02.97, 0:07.61,
2, parallel-propagate, Skyline, 1, 1000, 1623525913, 8, 1, 10, 50, 0, 0:04.74, 0:04.79, 0:10.25,
2, parallel-propagate, Flowers, 1, 1000, 1623525913, 8, 1, 10, 50, 0, 0:02.18, 0:03.32, 0:05.99,
2, parallel-propagate, Platformer, 1, 1000, 1623525913, 8, 1, 10, 50, 0, 0:04.24, 0:02.97, 0:07.61,
3, sequential-main, Skyline, 1, 1000, 2344573, 1, 1, 10, 50, 0, 0:06.59, 0:05.43, 0:12.74,
3, sequential-main, Flowers, 1, 1000, 2344573, 1, 1, 10, 50, 0, 0:02.82, 0:03.79, 0:07.12,
3, sequential-main, Platformer, 1, 1000, 2344573, 1, 1, 10, 50, 0, 0:03.87, 0:02.65, 0:06.92,
3, parallel-main, Skyline, 1, 1000, 2344573, 1, 1, 10, 50, 0, 0:06.63, 0:05.44, 0:12.80,
3, parallel-main, Flowers, 1, 1000, 2344573, 1, 1, 10, 50, 0, 0:02.84, 0:03.81, 0:07.17,
3, parallel-main, Platformer, 1, 1000, 2344573, 1, 1, 10, 50, 0, 0:03.91, 0:02.63, 0:06.94,
3, parallel-main, Skyline, 1, 1000, 2344573, 1, 2, 10, 50, 0, 0:13.29, 0:11.20, 0:25.90,
3, parallel-main, Flowers, 1, 1000, 2344573, 1, 2, 10, 50, 0, 0:04.67, 0:06.87, 0:12.60,
3, parallel-main, Platformer, 1, 1000, 2344573, 1, 2, 10, 50, 0, 0:05.24, 0:04.00, 0:10.06,
3, parallel-main, Skyline, 1, 1000, 2344573, 1, 4, 10, 50, 0, 0:30.47, 0:25.02, 0:58.89,
3, parallel-main, Flowers, 1, 1000, 2344573, 1, 4, 10, 50, 0, 0:10.04, 0:15.55, 0:28.74,
3, parallel-main, Platformer, 1, 1000, 2344573, 1, 4, 10, 50, 0, 0:11.56, 0:09.73, 0:23.16,
3, parallel-main, Skyline, 1, 1000, 2344573, 1, 8, 10, 50, 0, 1:09.26, 0:53.86, 2:12.51,
3, parallel-main, Flowers, 1, 1000, 2344573, 1, 8, 10, 50, 0, 0:19.17, 0:34.04, 1:00.18,
3, parallel-main, Platformer, 1, 1000, 2344573, 1, 8, 10, 50, 0, 0:32.77, 0:26.19, 1:04.57,
3, parallel-propagate, Skyline, 1, 1000, 2344573, 1, 1, 10, 50, 0, 0:06.55, 0:05.25, 0:12.49,
3, parallel-propagate, Flowers, 1, 1000, 2344573, 1, 1, 10, 50, 0, 0:02.83, 0:03.83, 0:07.19,
3, parallel-propagate, Platformer, 1, 1000, 2344573, 1, 1, 10, 50, 0, 0:03.86, 0:02.65, 0:06.91,
3, parallel-propagate, Skyline, 1, 1000, 2344573, 2, 1, 10, 50, 0, 0:06.58, 0:05.28, 0:12.55,
3, parallel-propagate, Flowers, 1, 1000, 2344573, 2, 1, 10, 50, 0, 0:02.81, 0:03.82, 0:07.16,
3, parallel-propagate, Platformer, 1, 1000, 2344573, 2, 1, 10, 50, 0, 0:03.84, 0:02.63, 0:06.87,
3, parallel-propagate, Skyline, 1, 1000, 2344573, 4, 1, 10, 50, 0, 0:06.60, 0:05.35, 0:12.65,
3, parallel-propagate, Flowers, 1, 1000, 2344573, 4, 1, 10, 50, 0, 0:02.82, 0:03.82, 0:07.16,
3, parallel-propagate, Platformer, 1, 1000, 2344573, 4, 1, 10, 50, 0, 0:03.88, 0:02.65, 0:06.92,
3, parallel-propagate, Skyline, 1, 1000, 2344573, 8, 1, 10, 50, 0, 0:06.58, 0:05.37, 0:12.66,
3, parallel-propagate, Flowers, 1, 1000, 2344573, 8, 1, 10, 50, 0, 0:02.83, 0:03.81, 0:07.16,
3, parallel-propagate, Platformer, 1, 1000, 2344573, 8, 1, 10, 50, 0, 0:03.87, 0:02.65, 0:06.94,
4, sequential-main, Skyline, 1, 1000, 1485571032, 1, 1, 10, 50, 0, 0:07.60, 0:05.96, 0:14.27,
4, sequential-main, Flowers, 1, 1000, 1485571032, 1, 1, 10, 50, 0, 0:01.93, 0:03.71, 0:06.15,
4, sequential-main, Platformer, 1, 1000, 1485571032, 1, 1, 10, 50, 0, 0:02.85, 0:02.23, 0:05.49,
4, parallel-main, Skyline, 1, 1000, 1485571032, 1, 1, 10, 50, 0, 0:07.58, 0:05.99, 0:14.30,
4, parallel-main, Flowers, 1, 1000, 1485571032, 1, 1, 10, 50, 0, 0:01.92, 0:03.71, 0:06.15,
4, parallel-main, Platformer, 1, 1000, 1485571032, 1, 1, 10, 50, 0, 0:02.99, 0:02.21, 0:05.61,
4, parallel-main, Skyline, 1, 1000, 1485571032, 1, 2, 10, 50, 0, 0:15.75, 0:11.68, 0:28.96,
4, parallel-main, Flowers, 1, 1000, 1485571032, 1, 2, 10, 50, 0, 0:03.11, 0:06.55, 0:10.68,
4, parallel-main, Platformer, 1, 1000, 1485571032, 1, 2, 10, 50, 0, 0:05.97, 0:04.45, 0:11.26,
4, parallel-main, Skyline, 1, 1000, 1485571032, 1, 4, 10, 50, 0, 0:23.85, 0:19.14, 0:46.36,
4, parallel-main, Flowers, 1, 1000, 1485571032, 1, 4, 10, 50, 0, 0:07.82, 0:14.75, 0:25.21,
4, parallel-main, Platformer, 1, 1000, 1485571032, 1, 4, 10, 50, 0, 0:11.44, 0:08.89, 0:22.26,
4, parallel-main, Skyline, 1, 1000, 1485571032, 1, 8, 10, 50, 0, 1:10.06, 0:53.07, 2:12.39,
4, parallel-main, Flowers, 1, 1000, 1485571032, 1, 8, 10, 50, 0, 0:11.44, 0:28.10, 0:46.53,
4, parallel-main, Platformer, 1, 1000, 1485571032, 1, 8, 10, 50, 0, 0:32.59, 0:23.20, 1:01.30,
4, parallel-propagate, Skyline, 1, 1000, 1485571032, 1, 1, 10, 50, 0, 0:07.54, 0:05.96, 0:14.23,
4, parallel-propagate, Flowers, 1, 1000, 1485571032, 1, 1, 10, 50, 0, 0:01.92, 0:03.71, 0:06.14,
4, parallel-propagate, Platformer, 1, 1000, 1485571032, 1, 1, 10, 50, 0, 0:02.89, 0:02.16, 0:05.44,
4, parallel-propagate, Skyline, 1, 1000, 1485571032, 2, 1, 10, 50, 0, 0:07.61, 0:05.93, 0:14.27,
4, parallel-propagate, Flowers, 1, 1000, 1485571032, 2, 1, 10, 50, 0, 0:01.91, 0:03.68, 0:06.11,
4, parallel-propagate, Platformer, 1, 1000, 1485571032, 2, 1, 10, 50, 0, 0:02.86, 0:02.18, 0:05.44,
